system:time_start,NDVI
"Jan 6, 2015",0.118
"Jan 6, 2015",0.103
"Jan 7, 2015",0.097
"Jan 14, 2015",0.076
"Jan 14, 2015",0.079
"Jan 15, 2015",0.116
"Jan 22, 2015",0.105
"Jan 22, 2015",0.065
"Jan 23, 2015",0.093
"Jan 31, 2015",0.11
"Feb 7, 2015",0.112
"Feb 7, 2015",0.097
"Feb 8, 2015",0.085
"Feb 16, 2015",0.105
"Feb 23, 2015",0.064
"Feb 23, 2015",0.077
"Feb 24, 2015",0.092
"Mar 3, 2015",0.095
"Mar 3, 2015",0.083
"Mar 11, 2015",0.12
"Mar 11, 2015",0.106
"Mar 12, 2015",0.101
"Mar 19, 2015",-0.076
"Mar 19, 2015",0.023
"Mar 27, 2015",0.114
"Mar 27, 2015",0.104
"Mar 28, 2015",0.104
"Apr 4, 2015",0.089
"Apr 5, 2015",0.126
"Apr 12, 2015",0.108
"Apr 12, 2015",0.108
"Apr 13, 2015",0.1
"Apr 20, 2015",0.075
"Apr 20, 2015",0.079
"Apr 21, 2015",0.111
"Apr 28, 2015",0.07
"Apr 28, 2015",0.093
"Apr 29, 2015",0.089
"May 6, 2015",0.084
"May 6, 2015",0.084
"May 7, 2015",0.101
"May 14, 2015",0.106
"May 14, 2015",0.103
"May 15, 2015",0.075
"May 22, 2015",0.079
"May 22, 2015",0.082
"May 23, 2015",0.106
"May 30, 2015",0.104
"May 30, 2015",0.093
"May 31, 2015",0.08
"Jun 7, 2015",0.077
"Jun 7, 2015",0.078
"Jun 8, 2015",0.108
"Jun 15, 2015",0.102
"Jun 15, 2015",0.097
"Jun 16, 2015",0.07
"Jun 23, 2015",0.052
"Jun 23, 2015",0.066
"Jun 24, 2015",0.097
"Jul 1, 2015",0.102
"Jul 1, 2015",0.096
"Jul 9, 2015",0.064
"Jul 10, 2015",0.1
"Jul 17, 2015",0.102
"Jul 17, 2015",0.096
"Jul 18, 2015",0.077
"Jul 25, 2015",0.07
"Jul 25, 2015",0.064
"Jul 26, 2015",0.101
"Aug 2, 2015",0.099
"Aug 2, 2015",0.093
"Aug 11, 2015",0.095
"Aug 18, 2015",0.098
"Aug 18, 2015",0.091
"Aug 26, 2015",0.064
"Aug 26, 2015",0.066
"Aug 27, 2015",0.092
"Sep 3, 2015",0.097
"Sep 3, 2015",0.095
"Sep 4, 2015",0.068
"Sep 11, 2015",0.055
"Sep 11, 2015",0.052
"Sep 12, 2015",0.094
"Sep 19, 2015",0.088
"Sep 19, 2015",0.091
"Sep 20, 2015",0.066
"Sep 27, 2015",0.053
"Sep 27, 2015",0.05
"Sep 28, 2015",0.088
"Oct 5, 2015",0.098
"Oct 5, 2015",0.096
"Oct 6, 2015",0.071
"Oct 13, 2015",0.076
"Oct 13, 2015",0.075
"Oct 14, 2015",0.113
"Oct 21, 2015",0.095
"Oct 22, 2015",0.056
"Oct 29, 2015",0.054
"Oct 30, 2015",0.086
"Nov 6, 2015",0.089
"Nov 6, 2015",0.095
"Nov 7, 2015",0.046
"Nov 14, 2015",0.053
"Nov 14, 2015",0.007
"Nov 15, 2015",0.106
"Nov 23, 2015",0.086
"Nov 30, 2015",0.085
"Nov 30, 2015",0.075
"Dec 1, 2015",0.103
"Dec 8, 2015",0.103
"Dec 8, 2015",0.096
"Dec 9, 2015",0.084
"Dec 16, 2015",0.085
"Dec 16, 2015",0.07
"Dec 17, 2015",0.089
"Dec 24, 2015",0.095
"Dec 24, 2015",0.084
"Dec 25, 2015",0.032
"Jan 1, 2016",0.047
"Jan 2, 2016",0.101
"Jan 9, 2016",0.105
"Jan 9, 2016",0.083
"Jan 10, 2016",0.08
"Jan 17, 2016",0.083
"Jan 17, 2016",0.054
"Jan 18, 2016",0.095
"Jan 25, 2016",0.105
"Jan 25, 2016",0.092
"Jan 26, 2016",0.08
"Feb 2, 2016",0.082
"Feb 2, 2016",0.07
"Feb 3, 2016",0.098
"Feb 10, 2016",0.088
"Feb 11, 2016",0.076
"Feb 18, 2016",0.083
"Feb 18, 2016",0.072
"Feb 19, 2016",0.097
"Feb 26, 2016",0.101
"Feb 26, 2016",0.09
"Feb 27, 2016",0.071
"Mar 5, 2016",0.046
"Mar 5, 2016",0.046
"Mar 6, 2016",0.095
"Mar 13, 2016",0.097
"Mar 13, 2016",0.084
"Mar 14, 2016",0.073
"Mar 21, 2016",0.068
"Mar 21, 2016",0.062
"Mar 22, 2016",0.069
"Mar 29, 2016",0.099
"Mar 29, 2016",0.088
"Mar 30, 2016",0.074
"Apr 14, 2016",0.092
"Apr 14, 2016",0.085
"Apr 15, 2016",0.073
"Apr 23, 2016",0.093
"Apr 30, 2016",0.092
"Apr 30, 2016",0.084
"May 1, 2016",0.066
